project,name,facility,owner,address,city,county,cost,sqft_stated,work,status,registered,start,end,scope,design_firm,url,sqft,sqft_source,primary,duplicate_of,cost_per_sqft,cost_suspect,area_is_campus,found_by,geo_precision,lon,lat
TABS2026014988,COPT Potranco - Core Shell,Building B,COPT SAN ANTONIO LP,1535 NW Crossroads,San Antonio,Bexar,25000000.0,141979,New Construction,Review Complete,2026-03-15,2026-10-01,2027-11-30,A new construction of a two-story core and shell building for a future single tenant computer data center.,Gensler,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014988,141979,,True,,176,False,False,scope of work,address,-98.636852,29.450895
TABS2026017435,COPT Potranco - TI,Building B,COPT SAN ANTONIO LP,1535 NW Crossroads,San Antonio,Bexar,50000000.0,141081,New Construction,Project Registered,2026-04-13,2027-11-04,2029-09-21,Tenant finish out work at an existing two-story core and shell building for a single tenant computer data center.,Gensler,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017435,141081,,True,,354,False,False,scope of work,address,-98.636852,29.450895
TABS2022015987,Skybox-Austin 1,Building 1,Austin Data Center 1 LLC,600 New Meister Lane,Pflugerville,Travis,25000000.0,141000,New Construction,Project Closed,2022-04-07,2022-06-01,2023-04-01,Site improvements & construction of a new core & shell bldg with a future use as a data center.  A proposed 2 story office & one story data center. Includes vertical circulation & a unisex restroom.,Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022015987,141000,,True,,177,False,False,scope of work,address,-97.623052,30.482391
TABS2023022537,Data Center TX3 - Tenant Improvements,NTT TX3 - Data Center,NTT Global,2080 Lookout Drive,Garland,Dallas,25000000.0,139500,Additions to Existing Building,Project Closed,2023-06-28,2023-12-01,2024-12-31,"Existing building fit out for new tenant, consisting of additional office space and adding equipment to data vaults.",Page Southerland Page,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2023022537,139500,,True,,179,False,False,facility name; project name,address,-96.65802,32.9824
TABS2023022536,Data Center TX2 - Tenant Improvements,NTT TX2 - Data Center,Michael Wooddell,2108 Lookout Drive,Garland,Dallas,25000000.0,139500,Additions to Existing Building,Project Closed,2023-06-28,2024-08-01,2025-07-31,"Existing building fit out for new tenant, consisting of additional office space and adding equipment to data vaults",Page Southerland Page,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2023022536,139500,,True,,179,False,False,facility name; project name,address,-96.659932,32.982401
TABS2022007231,DFW VII Expansion,DFW VII Expansion,Stream Data Centers,1717 Lookout Drive,Garland,Dallas,100000000.0,137900,Additions to Existing Building,Project Closed,2021-12-13,2021-02-01,2022-12-01,"The DFW VII Expansion is part of a master planned building expansion for the existing data center facility. The expansion will be comprised of (3) data halls, a small office shell space, supporting rooms, and an equipment yard.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022007231,137900,,True,,725,False,False,scope of work,address,-96.65391,32.9836
TABS2024007073,QTS DFW1 - DC3 - Level 1,QTS DFW1-DC3,"QUALITY INVESTMENT PROPERTIES IRVING, LLC",6351 Longhorn Dr,Irving,Dallas,32000000.0,136565,Renovation/Alteration,Project Registered,2023-12-11,2023-11-01,2024-04-30,Demolition of some existing scope for new Tenant Spaces. Addition of MEP Galleries and Data Halls. Modification to raised access flooring and unistrut ceiling.,Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024007073,136565,,True,,234,False,False,operator name,address,-96.980408,32.894873
TABS2022018979,Project Ficus,Stream Ficus,Stream Data Centers,60 Sunrise Road,Wilmer,Dallas,50000000.0,135300,New Construction,Review Complete,2022-05-13,2022-06-03,2023-05-16,This project is a single story data center. The scope of the current effort for the design team is only the first 5MW of the building. Day 1 capacity will be 5MW critical with 5MW increments for first 15MW.,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022018979,135300,,True,,370,False,False,scope of work,address,-96.704874,32.587763
TABS2022007939,Temple Data Center,Temple Data Center,Temple Green Data LLC,2810 Bob White Road,Unknown,Bell,70000000.0,133274,New Construction,Project Closed,2021-12-21,2021-10-11,2023-03-01,Development includes three interconnected Powered Shells primarily intended to store miners equipment equipped with immersion cooling system.,Burns and McDonnell,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022007939,133274,,True,,525,False,False,facility name; project name,address,-97.297303,31.055962
TABS2022006398,DPN Data Center,DPN Data Center Facility,GALAXY DIGITAL LLC,984 County Road 112 Suite A,Afton,Dickens,7000000.0,129000,New Construction,Inspection Complete,2021-12-01,2021-12-06,2022-03-31,New 126000 SF Computer Data Center with a 2500 SF Office and 150 SF Guard Shack,"WCA Design Studio, LLC",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022006398,129000,,True,,54,False,False,facility name; project name; scope of work,address,-100.86692,33.780398
